index,x,y
0,167,9.407894736842104
1,682,8.855263157894736
2,738,6.171052631578945
3,785,7.5131578947368425
4,1033,7.0
5,1156,5.828947368421053
6,1168,7.092105263157897
7,1380,37.118421052631575
8,1419,43.98684210526315
9,1446,6.144736842105264
10,1643,7.30263157894737
11,1751,6.421052631578949
12,1849,13.118421052631579
13,1958,7.4868421052631575
14,2067,11.94736842105263
15,2174,8.973684210526315
16,2289,11.736842105263154
17,2315,6.802631578947366
18,2391,7.80263157894737
19,2507,7.894736842105264
20,2588,5.94736842105263
21,2598,11.315789473684212
22,2799,38.40789473684211
23,2839,40.0
24,2890,5.921052631578949
25,2922,13.723684210526319
26,2932,6.276315789473683
27,3121,12.381578947368421
28,3148,10.69736842105263
29,3195,10.723684210526319
30,3465,6.10526315789474
31,3498,9.328947368421051
32,3545,6.565789473684209
33,3646,5.815789473684212
34,3706,6.513157894736835
35,3870,7.026315789473685
36,3906,9.35526315789474
37,3990,6.789473684210524
38,167,47.236842105263165
39,308,43.4078947368421
40,841,43.578947368421055
41,948,43.78947368421053
42,1033,47.43421052631579
43,1168,45.078947368421055
44,1380,74.69736842105263
45,1419,81.40789473684211
46,1448,43.89473684210526
47,1643,45.526315789473685
48,1850,47.34210526315789
49,1959,44.03947368421053
50,2068,48.671052631578945
51,2174,45.44736842105263
52,2289,50.25
53,2365,51.65789473684211
54,2388,47.723684210526315
55,2507,46.671052631578945
56,2586,43.51315789473684
57,2596,45.76315789473684
58,2799,76.69736842105263
59,2839,77.90789473684211
60,2923,50.09210526315789
61,2933,44.5921052631579
62,3121,51.578947368421055
63,3195,48.276315789473685
64,3530,43.421052631578945
65,3552,43.5921052631579
66,3989,43.60526315789474
67,166,84.5
68,948,81.6842105263158
69,1034,83.59210526315789
70,1156,81.89473684210526
71,1168,83.26315789473685
72,1380,112.5
73,1419,118.88157894736841
74,1447,81.72368421052632
75,1643,84.44736842105263
76,1752,82.13157894736842
77,1850,86.65789473684211
78,1959,82.69736842105263
79,2068,88.85526315789474
80,2174,83.07894736842105
81,2289,86.64473684210526
82,2382,84.55263157894737
83,2506,83.18421052631578
84,2586,83.78947368421052
85,2596,83.32894736842105
86,2781,81.76315789473685
87,2799,115.44736842105263
88,2839,115.80263157894737
89,2922,89.05263157894737
90,2932,81.36842105263158
91,2942,83.59210526315789
92,2998,82.21052631578948
93,3121,88.09210526315789
94,3194,82.38157894736842
95,3646,83.84210526315789
96,166,122.61842105263158
97,950,120.17105263157895
98,1034,121.76315789473684
99,1157,119.94736842105263
100,1168,120.61842105263158
101,1253,119.89473684210526
102,1380,150.60526315789474
103,1419,157.22368421052633
104,1448,120.34210526315789
105,1643,122.11842105263158
106,1850,124.82894736842105
107,1959,121.06578947368422
108,2068,126.09210526315789
109,2174,121.47368421052632
110,2290,123.98684210526315
111,2382,121.72368421052632
112,2507,120.47368421052632
113,2587,119.84210526315789
114,2599,121.3157894736842
115,2781,119.23684210526315
116,2799,152.36842105263156
117,2839,153.8421052631579
118,2923,126.96052631578948
119,3122,125.56578947368422
120,3196,122.19736842105263
121,167,161.17105263157896
122,404,158.89473684210526
123,950,158.8684210526316
124,1034,158.68421052631578
125,1157,157.5921052631579
126,1170,158.53947368421052
127,1253,157.28947368421052
128,1379,188.21052631578948
129,1419,195.28947368421052
130,1447,158.0921052631579
131,1643,160.28947368421052
132,1752,158.46052631578948
133,1850,162.28947368421052
134,1959,157.96052631578948
135,2068,165.1184210526316
136,2174,159.21052631578948
137,2290,162.48684210526315
138,2390,159.18421052631578
139,2508,160.1315789473684
140,2588,159.93421052631578
141,2599,160.46052631578948
142,2799,190.80263157894737
143,2839,191.56578947368422
144,2923,165.75
145,3121,165.0
146,3195,160.23684210526315
147,3646,158.78947368421052
148,164,198.80263157894737
149,951,197.69736842105263
150,1036,197.18421052631578
151,1157,195.31578947368422
152,1169,196.30263157894737
153,1253,195.68421052631578
154,1379,227.31578947368422
155,1419,233.53947368421052
156,1449,195.97368421052633
157,1644,198.25
158,1851,200.53947368421052
159,1961,198.30263157894737
160,2069,200.7236842105263
161,2175,197.71052631578948
162,2290,199.9736842105263
163,2391,198.23684210526315
164,2508,198.57894736842104
165,2588,196.76315789473685
166,2599,197.53947368421052
167,2799,230.34210526315792
168,2839,229.55263157894737
169,2924,202.42105263157896
170,2998,196.5
171,3121,200.82894736842104
172,3196,198.26315789473685
173,3646,195.2763157894737
174,166,237.0263157894737
175,951,235.93421052631578
176,1036,235.68421052631578
177,1158,233.6184210526316
178,1170,235.25
179,1379,264.9868421052632
180,1419,271.89473684210526
181,1449,235.0
182,1645,237.3815789473684
183,1852,239.98684210526315
184,1961,234.5921052631579
185,2069,239.19736842105263
186,2176,234.7236842105263
187,2291,237.06578947368422
188,2391,237.19736842105263
189,2508,236.25
190,2587,233.6184210526316
191,2599,234.9736842105263
192,2716,233.56578947368422
193,2799,268.88157894736844
194,2839,267.8026315789474
195,2924,241.8684210526316
196,3122,241.21052631578948
197,3196,236.3421052631579
198,3990,233.6315789473684
199,165,275.6842105263158
200,952,272.4342105263158
201,1036,272.7105263157895
202,1171,272.7894736842105
203,1379,303.07894736842104
204,1419,309.39473684210526
205,1449,272.39473684210526
206,1644,276.1578947368421
207,1852,278.2894736842105
208,1961,272.30263157894734
209,2069,276.9605263157895
210,2175,273.9868421052632
211,2291,275.42105263157896
212,2391,273.5131578947368
213,2509,275.4605263157895
214,2588,273.07894736842104
215,2600,274.8421052631579
216,2717,271.7631578947368
217,2799,308.7763157894737
218,2840,305.1842105263158
219,2924,280.61842105263156
220,3122,278.4473684210526
221,3197,274.10526315789474
222,3527,271.4473684210526
223,3990,271.4342105263158
224,165,312.85526315789474
225,952,310.4078947368421
226,1037,310.9736842105263
227,1171,311.75
228,1379,340.9473684210526
229,1419,347.82894736842104
230,1449,310.2763157894737
231,1646,313.35526315789474
232,1755,309.9078947368421
233,1853,314.75
234,1962,312.25
235,2070,315.17105263157896
236,2175,310.4868421052632
237,2291,312.5657894736842
238,2391,312.5131578947368
239,2509,313.13157894736844
240,2589,311.19736842105266
241,2600,311.9605263157895
242,2717,310.60526315789474
243,2782,310.0
244,2799,346.92105263157896
245,2839,343.5
246,2926,319.0263157894737
247,3124,316.0263157894737
248,3198,310.7763157894737
249,166,351.2368421052632
250,955,348.05263157894734
251,1037,349.5131578947368
252,1171,350.0657894736842
253,1379,379.0
254,1419,385.2236842105263
255,1449,348.0657894736842
256,1645,352.0657894736842
257,1755,348.85526315789474
258,1852,354.25
259,1962,350.61842105263156
260,2070,352.7631578947368
261,2080,347.5657894736842
262,2176,349.0657894736842
263,2292,351.63157894736844
264,2392,351.92105263157896
265,2509,350.6842105263158
266,2589,347.6842105263158
267,2600,349.7105263157895
268,2717,348.7763157894737
269,2799,386.4342105263158
270,2839,380.6973684210526
271,2925,355.88157894736844
272,3123,353.85526315789474
273,3198,349.8421052631579
274,164,389.35526315789474
275,847,386.44736842105266
276,954,387.85526315789474
277,1037,387.1578947368421
278,1171,387.85526315789474
